feature,importance
SaleEvent,0.4772881
DiscountPercentage_rolling_mean_7,0.053469397
DiscountPercentage_rolling_std_7,0.05289812
HasSaleEvent,0.041216128
DiscountPercentage_lag_1,0.027437313
DiscountPercentage_lag_3,0.025294054
DiscountPercentage_lag_2,0.024548786
is_month_end,0.018611632
DiscountPercentage_rolling_std_30,0.01808066
is_weekend,0.01781019
Time,0.017459502
Category,0.017035367
DiscountPercentage_rolling_mean_30,0.015740082
DiscountPercentage_lag_30,0.015303296
Brand,0.015161207
week_of_year,0.014976498
quarter,0.014787312
day,0.014770019
DiscountPercentage_lag_14,0.014743457
Model,0.014576038
dayofweek,0.014498994
year,0.013920797
DiscountPercentage_lag_7,0.013779696
product_id,0.013385527
days_in_month,0.01274169
month,0.012283621
is_month_start,0.008182481
