Date,Predicted_DiscountPercentage
2025-10-26,27.202707
2025-10-27,7.2894106
2025-10-28,6.8899045
2025-10-29,6.640246
2025-10-30,4.9626937
2025-10-31,6.2713594
2025-11-01,4.643041
2025-11-02,5.5333576
2025-11-03,5.456444
2025-11-04,5.477588
2025-11-05,5.5408497
2025-11-06,5.5197053
2025-11-07,5.5197053
2025-11-08,5.731762
2025-11-09,5.8017383
2025-11-10,5.700105
2025-11-11,5.527227
2025-11-12,5.500925
2025-11-13,5.5220695
2025-11-14,5.500925
2025-11-15,5.580028
2025-11-16,5.570334
2025-11-17,5.4376636
2025-11-18,5.458808
2025-11-19,5.686332
2025-11-20,5.895218
2025-11-21,6.0246496
2025-11-22,5.3417683
2025-11-23,5.8872337
2025-11-24,5.961388
